Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
Contact,DS,2006,Role-Playing,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,73,8.2,E10+
Harvey Birdman: Attorney at Law,PSP,2008,Adventure,0.099,0.09801,0.13069,0.040889999999999996,62,8.0,T
Predator: Concrete Jungle,XB,2005,Action,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,46,8.0,M
Opoona,Wii,2007,Role-Playing,0.08800000000000001,0.08712,0.12728,0.03968,65,7.7,E10+
Universal Studios Theme Parks Adventure,GC,2001,Misc,0.08800000000000001,0.08712,0.12728,0.03968,39,2.9,T
Steins;Gate,PSV,2013,Adventure,0.044000000000000004,0.04356,0.11364,0.034839999999999996,83,9.2,M
Rocky: Legends,XB,2004,Action,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,67,5.2,T
Star Trek: Shattered Universe,PS2,2004,Simulation,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,42,8.3,E
Ultra Street Fighter IV,PS4,2015,Fighting,0.0,0.0,0.1,0.03,71,5.9,T
EVE: Valkyrie,PS4,2016,Shooter,0.033,0.032670000000000005,0.11023000000000001,0.03363,73,6.3,T
Dragon Ball: Evolution,PSP,2009,Fighting,0.099,0.09801,0.13069,0.040889999999999996,28,0.9,T
The Crew: Wild Run,PS4,2015,Action,0.0,0.0,0.1,0.03,73,6.8,T
Natural Doctrine,PS4,2014,Role-Playing,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,53,6.0,M
NeverDead,X360,2012,Shooter,0.066,0.06534000000000001,0.12046000000000001,0.03726,52,5.5,M
MotoGP 07,PS2,2007,Racing,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,62,9.1,E
Blades of Time,PS3,2012,Action,0.044000000000000004,0.04356,0.11364,0.034839999999999996,53,7.2,M
Thor: God of Thunder,3DS,2011,Action,0.066,0.06534000000000001,0.12046000000000001,0.03726,55,4.2,T
Cubic Ninja,3DS,2011,Platform,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,51,5.9,E
F1 2014,PC,2014,Racing,0.0,0.0,0.1,0.03,61,4.8,E
Harvest Moon: Frantic Farming,DS,2009,Puzzle,0.08800000000000001,0.08712,0.12728,0.03968,72,6.8,E
Blue Dragon: Awakened Shadow,DS,2009,Role-Playing,0.066,0.06534000000000001,0.12046000000000001,0.03726,63,6.6,E10+
Shining Force EXA,PS2,2007,Role-Playing,0.0,0.0,0.1,0.03,64,7.3,E10+
Digimon World DS,DS,2006,Role-Playing,0.099,0.09801,0.13069,0.040889999999999996,71,7.6,E10+
MySims SkyHeroes,X360,2010,Action,0.099,0.09801,0.13069,0.040889999999999996,56,5.5,E10+
Guilty Gear Isuka,PS2,2004,Fighting,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,73,7.5,T
Tornado Outbreak,Wii,2009,Action,0.099,0.09801,0.13069,0.040889999999999996,71,8.2,E10+
Shovel Knight,WiiU,2015,Platform,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,88,8.3,E
Operation Abyss: New Tokyo Legacy,PSV,2014,Role-Playing,0.022000000000000002,0.02178,0.10682000000000001,0.03242,66,7.3,M
MotoGP 2,XB,2003,Racing,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,87,8.5,E
Heatseeker,Wii,2007,Action,0.08800000000000001,0.08712,0.12728,0.03968,62,6.2,T
Ar tonelico: Melody of Elemia,PS2,2006,Role-Playing,0.0,0.0,0.1,0.03,71,7.7,T
Castlevania Double Pack,GBA,2006,Platform,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,86,8.4,T
Samurai Warriors 4: Empires,PS4,2015,Action,0.022000000000000002,0.02178,0.10682000000000001,0.03242,71,6.5,T
Steel Battalion,XB,2002,Simulation,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,83,8.5,T
Power Stone Collection,PSP,2006,Action,0.08800000000000001,0.08712,0.12728,0.03968,74,6.8,T
Cartoon Network: Punch Time Explosion,3DS,2011,Fighting,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,58,5.9,E10+
"Blast Works: Build, Trade, Destroy",Wii,2008,Shooter,0.099,0.09801,0.13069,0.040889999999999996,78,7.7,E
SNK vs. Capcom Card Fighters DS,DS,2006,Strategy,0.099,0.09801,0.13069,0.040889999999999996,48,4.8,T
Medieval II: Total War,PC,2006,Strategy,0.0,0.0,0.1,0.03,88,8.9,T
Darkest of Days,X360,2009,Shooter,0.099,0.09801,0.13069,0.040889999999999996,44,4.8,M
Skylanders Imaginators,XOne,2016,Platform,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,78,6.0,E10+
Minority Report: Everybody Runs,XB,2002,Action,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,54,5.0,T
NASCAR,PSP,2006,Racing,0.099,0.09801,0.13069,0.040889999999999996,66,5.3,E
One Piece: Burning Blood,PSV,2016,Fighting,0.0,0.0,0.1,0.03,62,7.8,T
Rio,X360,2011,Misc,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,60,7.0,E10+
Playboy: The Mansion,XB,2005,Simulation,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,61,4.1,M
Disney's Aladdin in Nasira's Revenge,PS,2000,Action,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,61,8.3,E
Barnyard,PS2,2006,Action,0.05500000000000001,0.054450000000000005,0.11705000000000002,0.03605,62,8.7,E10+
Ultimate Marvel vs. Capcom 3,PS3,2011,Fighting,0.0,0.0,0.1,0.03,80,6.2,T
MindJack,X360,2011,Shooter,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,43,1.2,M
Pac-Man World 3,GC,2005,Platform,0.07700000000000001,0.07623,0.12387000000000001,0.038470000000000004,66,7.3,E
